"id";"nummer";"name";"stadtbezirk";"hst_oepnv";"umsetzungsstand_detail";"umsetzungsstand_kurz";"stellplaetze_carsharing";"carsharing_e_fahrzeug";"stellplaetze_eladen";"schnelllader_gr_50kw";"lage_pr_parkplatz";"mobibike_rueckgabe";"anzahl_docks";"luftpumpe";"luftpumpe_detail";"url_dd";"url_dvb";"geom";"ds_modified"
17;"70";"Ullersdorfer Platz";"Loschwitz";"Ullersdorfer Platz";"in Betrieb seit 23.05.2023";"Betrieb";2;"0";0;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.85541231494270419944 51.06228148269538991144)";2025-09-03 15:15:54
48;"71";"Cossebaude Bhf. (P+R)";"Cosseebaude";"Bf Cossebaude";"in Betrieb seit 11/2019";"Betrieb";2;"1";4;"0";"ja";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.63251772602198741424 51.08521906534431877844)";2025-09-03 15:15:54
51;"74";"Alexander-Puschkin-Platz";"Pieschen";"Alexander-Puschkin-Platz";"in Betrieb seit 17.08.2020";"Betrieb";4;"2";0;"0";"nein";"ja";6;"nein";"auf der Eisenberger Straße zwischen den Ständern von MOBIbike und der Infostele";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.72840515697427399289 51.07124486179218791904)";2025-09-03 15:15:54
18;"75";"Zschertnitz";"Plauen";"Zschertnitz";"in Betrieb seit 05/2023";"Betrieb";2;"0";0;"0";"nein";"nein";0;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74302733731569681197 51.01951742070014717001)";2025-09-03 15:15:54
79;"78";"Liststraße";"Pieschen";"Liststraße";"in Betrieb seit 01.08.2022";"Betrieb";3;"2";4;"2";"nein";"ja";5;"nein";"neben MOBIbike auf der Nordostseite der Liststraße im Bereich der landwärtigen Bushaltestelle südlich (vor) der Bahnbrücke";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.73317213362521549413 51.07769767902597379816)";2025-09-03 15:15:54
111;"79";"Brockwitzer Straße";"Pieschen";"Brockwitzer Straße";"in Betrieb seit 15.09.2022";"Betrieb";2;"0";4;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.7019913776166131214 51.07819125676588356555)";2025-09-03 15:15:54
112;"80";"Grundstraße";"Loschwitz";"Grundstraße";"in Betrieb seit 01.08.2022";"Betrieb";2;"2";2;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.84864022633245816962 51.06149913349074864755)";2025-09-03 15:15:54
146;"81";"Mickten";"Mickten";"Mickten";"in Betrieb seit 08.06.2023, Bikesharing offen (Juli 23)";"Betrieb";2;"2";4;"0";"nein";"ja";4;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.71458243953484235078 51.08045866332560080991)";2025-09-03 15:15:54
180;"100";"Palaisplatz";"Neustadt";"Palaisplatz";"Teilbetrieb: nur Ladesäule, in Betrieb seit 11.4.2019";"Teilbetrieb";0;"0";2;"0";"nein";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.73998711843088571527 51.06019754120209341863)";2025-09-03 15:15:54
181;"101";"Waldschlößchenbrücke";"Altstadt";"Käthe-Kollwitz-Ufer";"Teilbetrieb: nur Ladesäulen AC und DC, in Betrieb seit 10.9.2021";"Teilbetrieb";0;"0";10;"4";"ja";"nein";0;"nein";"-";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.77662912013492402252 51.06027240158917379631)";2025-09-03 15:15:54
248;"102";"Stadtforum";"Altstadt";"Prager Straße";"in Betrieb seit 01.04.2025, Nutzung aller CS-SP möglich seit September 25";"Betrieb";7;"7";0;"0";"nein";"ja";6;"nein";"0";"http://www.dresden.de/de/stadtraum/verkehr/mobilitaetsmanagement/040-Intermodale-Mobilitaetspunkte.php";"https://www.dvb.de/de-de/die-dvb/mobi/";"SRID=4326;POINT(13.74007610468851403596 51.04599345024674761362)";2025-09-03 15:15:54
